Claim Date,Customer ID,Customer Zip Code,DB Update Date,Insurance Expiry Date,Insurance Status,Model Line,Original Source,Product Production Date,Status,Sub Model Line,Sub Status,Vendor ID,Holding Fee,Insurance Amount,Storage Fee,Total Acquisition Cost
11/07/2008,J12945858,2762,31/07/2009,,Unknown Status,Bat,Corporate System,9/03/1993,COMPLETE,3 Phase,Complete,147828,0,708,468,67720
13/05/2006,J12622324,2762,2/07/2011,,Unknown Status,Yard,Corporate System,16/07/1996,COMPLETE,3 Phase,Complete,147828,0,508,796,25408
,J12575085,2762,30/06/2005,,Unknown Status,Yard,State,10/10/1995,INCOMPLETE,3 Phase,Incomplete,,0,972,1300,17084
13/06/2005,J12550530,2762,25/10/2009,30/10/2009,Expired Over 2 Years Ago,Core,Corporate System,1/08/1993,COMPLETE,Compact,Complete,145332,0,1076,80,42120
9/06/2005,J12550586,2762,6/02/2010,18/01/2011,Recently Expired,Core,Corporate System,25/08/1993,COMPLETE,Compact,Complete,27004,0,424,4,91760
23/01/2006,J12563964,2762,16/11/2009,17/10/2009,Expired Over 2 Years Ago,Core,Public Company,26/02/1997,COMPLETE,Compact,Complete,148112,0,884,96,44920
13/04/2005,J12548947,2762,12/12/2009,9/07/2010,Recently Expired,Core,Public Company,26/04/1993,COMPLETE,Compact,Complete,35500,0,1180,60,53360
,J12554505,2762,28/12/2009,11/01/2010,Expired Over 2 Years Ago,Core,Public Company,25/07/1993,INCOMPLETE,Compact,Incomplete,,0,144,96,12736
28/01/2008,J12790739,2762,2/11/2008,,Unknown Status,Bat,Corporate System,8/07/1993,COMPLETE,5 Phase,Complete,147828,0,576,276,32800
17/06/2008,J12911009,2762,29/05/2008,,Unknown Status,Yard,State,27/07/1999,COMPLETE,5 Phase,Complete,145332,0,788,908,26264
,J12795379,2762,4/08/2007,,Unknown Status,Yard,State,11/03/2001,INCOMPLETE,5 Phase,Incomplete,,0,128,892,66400
6/02/2007,J12662087,2762,4/11/2006,,Unknown Status,Adventure,State,29/03/1997,COMPLETE,Large,Complete,147828,0,576,676,14584
,J12550486,2762,28/12/2009,7/04/2010,Recently Expired,Adventure,Corporate System,20/11/1991,INCOMPLETE,Large,Incomplete,,0,864,140,86120
11/09/2006,J12639620,2762,19/03/2010,7/03/2011,Recently Expired,Adventure,State-Public,15/01/1993,COMPLETE,Large,Complete,147828,0,928,112,81240
,J12945865,2762,25/08/2010,23/02/2011,Recently Expired,Adventure,Public Company,20/10/1992,INCOMPLETE,Large,Incomplete,,0,28,108,19440
21/04/2008,J12917771,2762,1/01/2011,,Unknown Status,Core,Corporate System,13/07/2000,COMPLETE,Dual Phase,Complete,1132,0,1304,192,12748
,J12922166,2762,18/09/2011,,Unknown Status,Core,Corporate System,8/04/2002,INCOMPLETE,Dual Phase,Incomplete,,0,40,608,55120
,J13000247,2762,5/09/2008,,Unknown Status,Core,State,14/12/2000,INCOMPLETE,Dual Phase,Incomplete,,0,580,460,14692
,J12883218,2762,27/10/2008,,Unknown Status,Core,Corporate System,4/09/2001,INCOMPLETE,Dual Phase,Incomplete,,0,844,620,91520
8/10/2007,J12673160,2762,10/11/2009,,Unknown Status,Core,Public Company,9/09/1998,COMPLETE,Dual Phase,Complete,27004,0,140,108,15600
27/02/2008,J12880283,2762,21/09/2008,,Unknown Status,Core,State,19/08/2002,COMPLETE,Dual Phase,Complete,147828,0,1236,576,94680
24/02/2008,J12862785,2762,28/12/2008,,Unknown Status,Core,Corporate System,23/09/2001,COMPLETE,Dual Phase,Complete,27004,0,1356,288,21540
31/05/2009,J13020572,2762,12/04/2009,6/05/2009,Expired Over 2 Years Ago,Core,State-Public,6/11/1999,COMPLETE,Compact,Complete,147828,0,608,48,15268
,J12779036,2762,13/10/2007,,Unknown Status,Core,State,26/11/1999,INCOMPLETE,Compact,Incomplete,,0,1548,184,12292
9/09/2007,J12756696,2762,25/07/2007,,Unknown Status,Core,State,12/05/1997,COMPLETE,Compact,Complete,147828,0,772,172,10596
15/01/2008,J12880318,2762,27/06/2008,,Unknown Status,Core,State,24/09/2000,COMPLETE,Compact,Complete,149088,0,24,656,24480
,J12921201,2762,28/02/2008,,Unknown Status,Core,State,7/01/2001,INCOMPLETE,Compact,Incomplete,,0,1296,652,24964
13/03/2008,J12832234,2762,12/05/2008,,Unknown Status,Core,State,9/04/2002,COMPLETE,Compact,Complete,145332,0,692,204,19712
5/04/2008,J12912282,2762,3/02/2008,,Unknown Status,Core,State,6/01/2000,COMPLETE,Compact,Complete,147652,0,1608,664,74600
31/03/2005,J12551304,,15/08/2008,,Unknown Status,Core,State,24/11/1992,COMPLETE,Compact,Complete,148808,0,312,104,75960
,J12789264,2337,27/02/2010,22/06/2010,Recently Expired,Core,State-Public,25/03/1995,INCOMPLETE,Compact,Incomplete,,0,1388,92,11508
27/09/2005,J12554670,2337,7/12/2009,26/12/2009,Expired Over 2 Years Ago,Core,State-Public,31/10/1992,COMPLETE,Dual Phase,Complete,176,0,1144,108,52200
31/05/2005,J12549343,2337,2/08/2009,2/09/2009,Expired Over 2 Years Ago,Core,State-Public,5/03/1993,COMPLETE,Dual Phase,Complete,148112,0,144,8,90080
6/08/2008,J12934035,2337,6/07/2008,,Unknown Status,Core,State,6/02/1997,COMPLETE,Compact,Complete,148808,0,224,44,11868
31/01/2008,J12878878,2337,7/03/2008,,Unknown Status,Yard,State,10/03/1999,COMPLETE,5 Phase,Complete,176,0,20,1184,31080
6/11/2008,J12995893,2337,24/09/2008,,Unknown Status,Rook,State,1/09/2001,COMPLETE,5 Phase,Complete,148808,0,32,340,14708
15/09/2007,J12763836,2337,12/08/2007,,Unknown Status,Core,State,25/07/1999,COMPLETE,Dual Phase,Complete,8820,0,740,36,12312
,J12819745,2337,30/09/2007,,Unknown Status,Core,State,15/04/1999,INCOMPLETE,Dual Phase,Incomplete,,0,1000,648,15584
27/10/2007,J12816030,2337,6/01/2008,,Unknown Status,Core,Technical Doc,21/03/1999,COMPLETE,Dual Phase,Complete,38020,0,1248,656,36800
1/01/2007,J12651782,3179,6/03/2009,13/09/2009,Expired Over 2 Years Ago,Core,Public Company,9/07/1994,COMPLETE,Dual Phase,Complete,148416,0,64,0,84800
27/07/2006,J12591207,3179,21/12/2009,21/03/2010,Expired Over 2 Years Ago,Core,State-Public,19/09/1996,COMPLETE,Dual Phase,Complete,10468,0,420,4,21680
28/07/2006,J12620530,3179,13/09/2010,28/02/2010,Expired Over 2 Years Ago,Core,Corporate System,2/10/1996,COMPLETE,Dual Phase,Complete,148716,0,936,20,63480
,J12643124,3179,16/01/2010,25/02/2010,Recently Expired,Core,Corporate System,28/12/1996,INCOMPLETE,Dual Phase,Incomplete,,0,132,80,10244
27/04/2008,J12896654,3179,27/01/2010,,Unknown Status,Yard,Corporate System,26/04/2001,COMPLETE,Dual Phase,Complete,150524,0,324,876,25172
26/03/2008,J12850947,3179,2/03/2008,,Unknown Status,Yard,State,9/03/2003,COMPLETE,Dual Phase,Complete,150148,0,56,760,10740
,J12954368,3179,3/07/2008,,Unknown Status,Yard,State,31/01/2002,INCOMPLETE,Dual Phase,Incomplete,,0,1248,116,15564
19/09/2006,J12639941,3179,6/03/2010,19/05/2010,Recently Expired,Yard,Corporate System,1/04/1998,COMPLETE,Dual Phase,Complete,148716,0,528,264,21228
,J12935225,3179,29/08/2008,,Unknown Status,Core,Corporate System,31/07/1993,INCOMPLETE,Single Phase,Incomplete,,0,1700,20,13252
,J12677007,3179,28/04/2007,,Unknown Status,Bat,State,9/04/1993,INCOMPLETE,3 Phase,Incomplete,,0,680,24,12936
24/01/2008,J12778478,3179,17/10/2007,,Unknown Status,Bat,State,6/05/1993,COMPLETE,3 Phase,Complete,148716,0,400,272,12384
20/10/2007,J12730541,3179,5/07/2007,,Unknown Status,Bat,State,16/08/1993,COMPLETE,3 Phase,Complete,148716,0,560,516,82160
,J13030485,3179,20/06/2009,15/05/2008,Expired Over 2 Years Ago,Core,Corporate System,28/02/1997,INCOMPLETE,Compact,Incomplete,,788,232,476,44676
31/03/2007,J12662618,3179,10/11/2008,,Unknown Status,Yard,Public Company,25/07/1996,COMPLETE,5 Phase,Complete,150148,0,1152,996,15188
,J12625686,3179,16/08/2005,,Unknown Status,Yard,State,27/08/1997,INCOMPLETE,5 Phase,Incomplete,,0,1152,208,31680
2/07/2008,J12900970,3179,24/05/2008,,Unknown Status,Yard,Corporate System,28/09/2000,COMPLETE,5 Phase,Complete,148716,0,612,888,29376
,J12585767,3179,11/11/2005,,Unknown Status,Adventure,Public Company,12/03/1997,INCOMPLETE,Large,Incomplete,,0,312,1256,27460
9/09/2007,J12738907,3179,16/10/2007,,Unknown Status,Core,State,30/05/1998,COMPLETE,Dual Phase,Complete,148716,0,852,48,97440
,J12739126,3179,20/07/2007,,Unknown Status,Core,State,3/01/1998,INCOMPLETE,Dual Phase,Incomplete,,0,876,260,11128
31/03/2008,J12917108,3179,19/02/2008,,Unknown Status,Core,State,29/12/2002,COMPLETE,Dual Phase,Complete,216632,0,1496,196,14672
6/03/2008,J12850861,3179,20/04/2011,,Unknown Status,Core,Corporate System,28/10/1998,COMPLETE,Dual Phase,Complete,150148,0,640,304,59040
8/07/2008,J12944748,3179,20/03/2011,11/11/2011,Recently Expired,Core,State,6/08/2001,COMPLETE,Dual Phase,Complete,150676,0,240,356,18528
,J12777450,3179,9/08/2007,,Unknown Status,Core,State,27/10/1997,INCOMPLETE,Compact,Incomplete,,0,896,16,88840
1/04/2008,J12894601,3179,16/02/2008,,Unknown Status,Core,State,26/06/2001,COMPLETE,Compact,Complete,216632,0,536,356,13592
6/03/2008,J12863326,3179,28/04/2009,,Unknown Status,Core,Corporate System,11/04/2002,COMPLETE,Compact,Complete,148716,0,2088,332,90560
20/06/2006,J12620778,2105,28/08/2009,22/03/2010,Recently Expired,Yard,State-Public,28/01/1998,COMPLETE,Dual Phase,Complete,148168,0,896,372,12480
,J12923483,3352,27/02/2008,,Unknown Status,Core,State,6/09/2000,INCOMPLETE,Compact,Incomplete,,0,900,164,13292
29/11/2006,J12651001,5153,24/12/2011,,Unknown Status,Yard,Corporate System,17/07/1997,COMPLETE,5 Phase,Complete,145768,0,1028,232,55280
28/10/2006,J12642312,3267,7/11/2009,31/10/2009,Expired Over 2 Years Ago,Core,Corporate System,18/08/1993,COMPLETE,Compact,Complete,149480,0,1036,92,12468
7/08/2006,J12625323,7260,4/08/2010,11/09/2010,Recently Expired,Core,Corporate System,17/06/1993,COMPLETE,Compact,Complete,148712,0,464,116,10188
30/03/2006,J12578672,7260,13/01/2010,19/01/2011,Recently Expired,Yard,Corporate System,23/11/1998,COMPLETE,Dual Phase,Complete,148712,0,1224,168,65080
15/12/2007,J12751223,7260,6/10/2007,,Unknown Status,Yard,State,13/08/1999,COMPLETE,5 Phase,Complete,148712,0,224,608,51760
,J12990366,7260,7/10/2008,24/11/2008,Expired Over 2 Years Ago,Bat,Corporate System,4/04/1993,INCOMPLETE,5 Phase,Incomplete,,540,232,472,97240
,J12959853,7260,16/08/2008,,Unknown Status,Core,Corporate System,5/10/2000,INCOMPLETE,Compact,Incomplete,,0,1420,32,14460
19/09/2007,J12687211,2614,20/03/2010,1/05/2010,Recently Expired,Core,Public Company,8/01/1997,COMPLETE,Dual Phase,Complete,26460,0,820,60,33280
13/06/2005,J12551092,2614,28/11/2009,20/11/2010,Recently Expired,Core,State-Public,29/10/1993,COMPLETE,Single Phase,Complete,26460,0,772,24,12464
,J13034806,2614,21/04/2011,11/05/2011,Recently Expired,Yard,State,17/03/1997,INCOMPLETE,3 Phase,Incomplete,,0,860,708,28284
19/12/2007,J12815214,2614,4/10/2007,,Unknown Status,Yard,State,13/03/2000,COMPLETE,5 Phase,Complete,26460,0,1172,32,12320
24/02/2008,J12798226,2614,22/11/2007,,Unknown Status,Yard,State,14/03/2001,COMPLETE,5 Phase,Complete,26460,0,232,560,18296
19/09/2007,J12676787,2614,30/10/2011,26/10/2012,Active,SL-300,State,5/03/1997,COMPLETE,Dual Phase,Complete,200284,0,5804,1308,69788
,J12777622,2614,2/08/2007,,Unknown Status,Core,State,16/07/1998,INCOMPLETE,Dual Phase,Incomplete,,0,1356,484,85000
13/08/2008,J12964712,2614,14/06/2008,,Unknown Status,Core,Public Company,7/04/1998,COMPLETE,Dual Phase,Complete,26460,0,1016,620,23880
2/06/2008,J12951000,2614,31/08/2008,,Unknown Status,Core,State,4/05/2001,COMPLETE,Compact,Complete,26460,0,332,208,14316
5/07/2008,J12973042,,3/02/2010,,Unknown Status,SL-300,Technical Doc,25/04/2000,COMPLETE,Dual Phase,Complete,149868,0,944,476,67148
,J12982203,,16/02/2010,,Unknown Status,Core,Technical Doc,5/11/1997,INCOMPLETE,Dual Phase,Insurance Claim,,0,1364,352,16324
,J12767213,,12/01/2008,,Unknown Status,Core,Technical Doc,10/09/1998,INCOMPLETE,Dual Phase,Incomplete,,0,204,552,16292
30/11/2007,J12746901,,12/10/2009,,Unknown Status,Core,State-Public,25/02/1998,COMPLETE,Dual Phase,Complete,1132,0,1080,0,14772
13/05/2008,J12904631,,8/11/2009,,Unknown Status,Core,Technical Doc,28/06/2002,COMPLETE,Dual Phase,Complete,147652,0,884,384,33080
26/03/2008,J12917995,,1/11/2009,,Unknown Status,Core,Technical Doc,23/04/2002,COMPLETE,Compact,Complete,145288,0,1188,420,55680
,J12994332,,8/01/2010,,Unknown Status,Core,Technical Doc,28/10/2000,INCOMPLETE,Compact,Insurance Claim,,0,2096,268,84520
28/01/2009,J13005586,,11/03/2009,,Unknown Status,Core,Technical Doc,9/04/2001,COMPLETE,Compact,Complete,32440,0,212,320,21968
,J12839505,,13/02/2010,,Unknown Status,Core,Technical Doc,3/09/2000,INCOMPLETE,Compact,Insurance Claim,,0,628,172,85880
,J12611140,,29/12/2009,14/07/2010,Recently Expired,Core,Corporate System,21/05/1992,INCOMPLETE,Dual Phase,Incomplete,,0,1260,92,62800
14/08/2007,J12678027,2212,19/12/2009,25/04/2010,Recently Expired,Core,Corporate System,18/01/1995,COMPLETE,Compact,Complete,147608,0,564,8,76680
25/02/2009,J13024957,2212,16/03/2009,29/10/2008,Expired Over 2 Years Ago,Core,Corporate System,15/01/1995,COMPLETE,Compact,Complete,204852,0,1524,536,19520
,J12553458,2212,5/04/2010,5/06/2010,Recently Expired,Core,Corporate System,14/06/1993,INCOMPLETE,Compact,Incomplete,,0,88,44,16828
30/09/2006,J12632714,2212,29/11/2009,13/02/2010,Expired Over 2 Years Ago,Core,Corporate System,31/12/1992,COMPLETE,Dual Phase,Complete,32440,0,900,136,71200
,J12946043,2212,30/07/2008,,Unknown Status,Core,Corporate System,5/11/1993,INCOMPLETE,Dual Phase,Incomplete,,232,560,656,11176
23/08/2008,J12938409,2212,13/08/2008,,Unknown Status,Core,State,14/01/1992,COMPLETE,Dual Phase,Complete,147608,0,1452,432,14720
12/07/2006,J12642644,2212,7/10/2009,3/07/2010,Recently Expired,Core,Corporate System,19/04/1996,COMPLETE,Dual Phase,Complete,204852,0,1332,100,32880
,J12554098,2212,25/01/2010,22/11/2010,Recently Expired,Core,State-Public,27/09/1992,INCOMPLETE,Dual Phase,Incomplete,,0,904,140,90160
